YEAR,COW,PHYSINT,DISAP,KILL,POLPRIS,TORT,INJUD
2007,434,5,2,1,2,0,0
2008,434,6,2,2,2,0,0
2009,434,5,2,1,2,0,0
2010,434,4,1,1,2,0,1
1981,760,8,2,2,2,2,1
1982,760,7,2,2,2,1,1
1983,760,7,2,2,2,1,1
1984,760,8,2,2,2,2,1
1985,760,8,2,2,2,2,1
1986,760,8,2,2,2,2,1
1987,760,8,2,2,2,2,1
1988,760,8,2,2,2,2,1
1989,760,7,2,2,1,2,1
1990,760,3,0,1,0,2,1
1991,760,1,0,1,0,0,0
1992,760,1,0,1,0,0,0
1993,760,2,0,2,0,0,0
1994,760,4,2,1,0,1,0
1995,760,4,2,1,0,1,0
1996,760,6,2,2,0,2,0
1997,760,5,2,2,0,1,0
1998,760,5,2,2,0,1,0
1999,760,5,2,2,0,1,0
2000,760,4,2,1,0,1,0
2001,760,6,2,2,0,2,0
2002,760,5,2,2,0,1,0
2003,760,5,2,2,0,1,0
2004,760,6,2,2,0,2,1
2005,760,6,2,2,0,2,2
2006,760,6,2,2,0,2,1
2007,760,6,2,2,0,2,2
2008,760,4,1,2,0,1,2
2009,760,5,2,2,0,1,2
2010,760,5,2,2,0,1,2
1981,145,2,1,1,0,0,1
1982,145,1,0,1,0,0,0
1983,145,4,1,1,1,1,1
1984,145,5,2,1,1,1,1
1985,145,4,2,2,0,0,2
1986,145,5,2,2,0,1,1
1987,145,6,2,2,1,1,1
1988,145,5,2,1,1,1,2
1989,145,7,2,2,2,1,1
1990,145,5,2,1,1,1,1
1991,145,7,2,2,2,1,1
1992,145,6,2,1,2,1,1
1993,145,6,2,1,2,1,1
1994,145,6,2,1,2,1,1
1995,145,5,2,1,1,1,1
1996,145,7,2,2,2,1,1
1997,145,7,2,2,2,1,1
1998,145,4,2,1,1,0,1
1999,145,7,2,2,2,1,1
2000,145,4,2,1,1,0,1
2001,145,7,2,2,2,1,1
2002,145,7,2,2,2,1,1
2003,145,4,2,0,2,0,1
2004,145,6,2,1,2,1,1
2005,145,6,2,1,2,1,1
2006,145,6,2,1,2,1,0
2007,145,6,2,1,2,1,1
2008,145,5,2,1,1,1,0
2009,145,6,2,2,1,1,0
2010,145,5,2,1,1,1,0
1981,346,,,,,,
1982,346,,,,,,
1983,346,,,,,,
1984,346,,,,,,
1985,346,,,,,,
1986,346,,,,,,
1987,346,,,,,,
1988,346,,,,,,
