country	year	INGO_uia
Netherlands Antill	1986	164
Netherlands	1986	1684
Netherlands Antill	1987	147
Netherlands	1987	2067
Netherlands	1988	2223
Netherlands Antill	1988	166
Netherlands Antill	1989	177
Netherlands	1989	2329
Netherlands	1990	2433
Netherlands Antill	1990	185
Netherlands	1991	2495
Netherlands Antill	1991	187
Netherlands Antill	1992	194
Netherlands	1992	2582
Netherlands Antill	1993	198
Netherlands	1993	2682
Netherlands Antill	1994	205
Netherlands	1994	2741
Netherlands	1995	2817
Netherlands Antill	1995	204
Netherlands Antill	1996	208
Netherlands	1996	2940
Netherlands	1997	3015
Netherlands Antill	1997	218
Netherlands	1998	3104
Netherlands Antill	1998	214
Netherlands	1999	3160
Netherlands Antill	1999	209
Belgium	1966	1074
Belgium	1977	1341
Belgium	1978	1341
Belgium	1979	1341
Belgium	1980	1341
Belgium	1981	1341
Belgium	1982	1963
Belgium	1983	1977
Belgium	1984	2037
Belgium	1985	2037
Belgium	1986	1643
Belgium	1987	2070
Belgium	1988	2250
Belgium	1989	2359
Belgium	1990	2434
Belgium	1991	2508
Belgium	1992	2596
Belgium	1993	2688
Belgium	1994	2754
Belgium	1995	2834
Belgium	1996	2945
Belgium	1997	3017
Belgium	1998	3100
Belgium	1999	3139
Luxembourg	1966	450
Luxembourg	1977	533
Luxembourg	1978	533
Luxembourg	1979	533
Luxembourg	1980	533
Luxembourg	1981	533
Luxembourg	1982	735
Luxembourg	1983	751
Luxembourg	1984	775
Luxembourg	1985	775
Luxembourg	1986	766
Luxembourg	1987	800
Luxembourg	1988	847
Luxembourg	1989	895
Luxembourg	1990	923
Luxembourg	1991	956
Luxembourg	1992	982
Luxembourg	1993	1023
Luxembourg	1994	1051
Luxembourg	1995	1080
Luxembourg	1996	1122
Luxembourg	1997	1155
Luxembourg	1998	1166
Luxembourg	1999	1181
France	1966	1168
France	1977	1457
France	1978	1457
France	1979	1457
France	1980	1457
France	1981	1457
France	1982	2132
France	1983	2161
France	1984	2227
France	1985	2227
France	1986	1704
France	1987	2264
France	1988	2471
France	1989	2598
France	1990	2700
France	1991	2777
France	1992	2879
France	1993	2976
France	1994	3038
France	1995	3127
France	1996	3255
France	1997	3327
France	1998	3440
France	1999	3523
Monaco	1966	88
Monaco	1977	102
Monaco	1978	102
Monaco	1979	102
Monaco	1980	102
Monaco	1981	102
Monaco	1982	171
Monaco	1983	177
Monaco	1984	184
Monaco	1985	184
Monaco	1986	187
Monaco	1987	201
Monaco	1988	215
Monaco	1989	224
Monaco	1990	242
Monaco	1991	253
Monaco	1992	260
Monaco	1993	252
Monaco	1994	261
Monaco	1995	265
Monaco	1996	275
Monaco	1997	283
Monaco	1998	288
Monaco	1999	290
Liechtenstein	1966	37
Liechtenstein	1977	64
Liechtenstein	1978	64
Liechtenstein	1979	64
Liechtenstein	1980	64
Liechtenstein	1981	64
Liechtenstein	1982	102
Liechtenstein	1983	109
Liechtenstein	1984	112
Liechtenstein	1985	112
Liechtenstein	1986	117
Liechtenstein	1987	133
Liechtenstein	1988	145
Liechtenstein	1989	159
Liechtenstein	1990	172
Liechtenstein	1991	179
Liechtenstein	1992	188
Liechtenstein	1993	195
